x y err
0 0.053078471575439164 0.0030144996210943235
1 0.03783687724331261 0.0016854675181193
2 0.038054522311453155 0.002155345690934806
3 0.038330683362766356 0.002358279722779525
4 0.03853524891868004 0.0031782943675601753
5 0.03856240739821595 0.0035743978842128752
6 0.03869151821217874 0.004360291307278024
7 0.03886389983833237 0.004612548475648037
8 0.039144661410223776 0.005310742403469124
9 0.039260021279497084 0.005875280464495719
10 0.039414846419072606 0.006316151529613347
11 0.039471579702328 0.007223526485130807
12 0.039730653718823054 0.007636499870813277
13 0.03914727808101717 0.007300388626970372
14 0.03965688832947495 0.007777987422364967
15 0.03937725115836126 0.007593507075386665
16 0.03969940839892998 0.00819079712627275
17 0.039632992481418855 0.007569902946777902
18 0.03924722924043836 0.007739754021515051
19 0.039358855882970854 0.007862984277968816
20 0.03891490385508915 0.007679654111685411
21 0.039260028014459915 0.007363954930251118
22 0.038868477800430165 0.007521813941548134
23 0.039483680571155325 0.007014576532304294
24 0.03884153488928698 0.006699812062863619
