x y err
0 0.10650750771072669 0.00902724657443014
1 0.05233469196577979 0.005870806210601304
2 0.025139287751060443 0.003353674054766331
3 0.013858988280555951 0.0018558115660721652
4 0.008958672752369336 0.0011154124268731925
5 0.0065174017610334254 0.0007414684241697272
6 0.005138943482475833 0.0005393180347340106
7 0.004290255390948621 0.000420233677934197
8 0.0037258395428829277 0.0003463480933128938
9 0.0033292781132138894 0.00029593049943931187
10 0.0030387682004185345 0.0002643419242431066
11 0.002817345463787127 0.00024027805558573224
12 0.002643846746905798 0.0002226960595730296
13 0.002502291320895353 0.00020826465001183241
14 0.0023856756894894446 0.000196779642290912
15 0.0022902178517935964 0.00018872207986873378
16 0.0022070823317220907 0.000180801292320448
17 0.0021339857963486985 0.00017209879326714574
18 0.0020707423795877683 0.00016531719944411436
19 0.002015490450908514 0.00015943952452996508
20 0.0019647411614060434 0.0001536959597668301
21 0.00191901911526476 0.00014657472206528732
22 0.001878577132832957 0.00014257315897329853
23 0.0018402003560017343 0.00013742175138834736
24 0.0018066314353785058 0.0001341358787314179
